t,o,h,l,c,v,s
1735690740,93810.9,93818.3,93766.7,93779.5,250299,BTC_USDT
1735690740,3350.2,3351.25,3349.4,3350.65,16223,ETH_USDT
1735690740,2.097,2.0971,2.0963,2.0963,102,XRP_USDT
1735690800,93779.5,93839.2,93779.5,93839.2,65203,BTC_USDT
1735690800,3350.45,3351.1,3349.7,3350.8,8613,ETH_USDT
1735690800,190.89,191.12,190.89,191.12,243,SOL_USDT
1735690800,2.0989,2.0999,2.0979,2.0999,223,XRP_USDT
1735690800,0.31802,0.31854,0.31802,0.3185,14432,DOGE_USDT
1735690860,2.0998,2.101,2.0962,2.0962,735,XRP_USDT
1735690860,93837.4,93875.4,93770,93770,186607,BTC_USDT
1735690860,0.31852,0.31865,0.31799,0.31799,14242,DOGE_USDT
1735690860,191.1,191.24,190.84,190.84,998,SOL_USDT
1735690860,3350.45,3353,3349.1,3349.75,12486,ETH_USDT
1735690920,2.0954,2.0958,2.0947,2.0948,260,XRP_USDT
1735690920,0.31798,0.31804,0.3179,0.31798,5596,DOGE_USDT
1735690920,93769.7,93769.7,93699,93699.1,40197,BTC_USDT
1735690920,190.82,190.88,190.56,190.65,2018,SOL_USDT
1735690920,3349.5,3349.65,3347.55,3347.9,11602,ETH_USDT
1735690980,93699.1,93730.9,93675.5,93716.5,36267,BTC_USDT
1735690980,3348.1,3349.05,3346.8,3348.6,4646,ETH_USDT
1735690980,190.63,190.76,190.56,190.76,369,SOL_USDT
1735690980,0.31801,0.31801,0.31779,0.31794,6648,DOGE_USDT
1735690980,2.0953,2.0963,2.094,2.0963,10948,XRP_USDT
1735691040,3348.75,3349.7,3348.25,3348.85,12617,ETH_USDT
1735691040,2.0967,2.0978,2.0967,2.0967,2780,XRP_USDT
1735691040,93714.1,93737.2,93710.2,93710.2,80872,BTC_USDT
1735691040,190.78,190.86,190.59,190.59,290,SOL_USDT
1735691040,0.31796,0.31809,0.31796,0.31797,6973,DOGE_USDT
1735691100,2.097,2.0975,2.0961,2.0965,185,XRP_USDT
1735691100,0.31797,0.31817,0.31797,0.31799,1498,DOGE_USDT
1735691100,190.54,190.64,190.52,190.58,42,SOL_USDT
1735691100,3348.85,3349.8,3348.85,3349.8,8906,ETH_USDT
1735691100,93710.2,93718,93703.5,93707.2,17536,BTC_USDT
1735691160,93711.1,93717.6,93688.8,93717.6,25890,BTC_USDT
1735691160,0.31807,0.31807,0.31796,0.31801,4064,DOGE_USDT
1735691160,190.62,190.62,190.39,190.41,341,SOL_USDT
1735691160,3349.8,3349.8,3348.4,3349.05,6450,ETH_USDT
1735691160,2.0968,2.0968,2.0947,2.0948,230,XRP_USDT
1735691220,93718.2,93718.2,93698.1,93703.4,10980,BTC_USDT
